,Name,Tweet Order,Text,Compound,Positive,Negative,Neutral,Time,Adj Time
25,@BBC,75,"'Change doesn't come from outside.'

#Pilgrimage: The Road to Santiago | 9pm | @BBCTwo https://t.co/N4Fxc0EU77",0.0,0.0,0.0,1.0,Fri Mar 30 17:06:00 +0000 2018,2018-03-30 17:06:00+00:00
26,@BBC,74,?? A dying man was granted his final wish in hospital - a visit from his dog. https://t.co/xE4rkcBJNv,0.5719,0.266,0.0,0.734,Fri Mar 30 16:26:45 +0000 2018,2018-03-30 16:26:45+00:00
27,@BBC,73,"The illegal wildlife trade is worth £18bn per year, but @wildliferescue are working to turn it around.… https://t.co/fe3MDr2TN9",-0.2144,0.073,0.116,0.81,Fri Mar 30 16:02:04 +0000 2018,2018-03-30 16:02:04+00:00
28,@BBC,72,"RT @bbceurovision: ?? Presenting our 2018 dream team! @Grahnort hosts the Grand Final on @BBCOne. Fresh from You Decide, we welcome @Rylan!…",0.8715,0.377,0.0,0.623,Fri Mar 30 15:25:47 +0000 2018,2018-03-30 15:25:47+00:00
29,@BBC,71,RT @BBCNews: Heartbeat actor Bill Maynard dies at 89 https://t.co/BMeMLwjPpV,0.0,0.0,0.0,1.0,Fri Mar 30 15:10:56 +0000 2018,2018-03-30 15:10:56+00:00
30,@BBC,70,We use an estimated 8.5b plastic straws every year in the UK and they're among the top 10 items found in beach clea… https://t.co/K9r6HRVu3V,0.2023,0.073,0.0,0.927,Fri Mar 30 14:54:01 +0000 2018,2018-03-30 14:54:01+00:00
31,@BBC,69,Graphic artist Gabriella Marcella uses a vintage #Risograph printer to produce amazing designs. https://t.co/W9JK5vLbSf,0.5859,0.241,0.0,0.759,Fri Mar 30 13:05:00 +0000 2018,2018-03-30 13:05:00+00:00
32,@BBC,68,"Meena was raised to be a ‘good Indian girl' - to cook, clean and find a husband.

But as an environmental activist… https://t.co/HWMRk97Wdm",0.4019,0.124,0.0,0.876,Fri Mar 30 12:04:01 +0000 2018,2018-03-30 12:04:01+00:00
33,@BBC,67,RT @BBC6Music: Elementary! Martin Freeman and @ACIDJAZZRECS' @eddiepiller delve into their record bag(gins) to share some choice cuts as th…,0.4574,0.213,0.09,0.697,Fri Mar 30 10:39:54 +0000 2018,2018-03-30 10:39:54+00:00
34,@BBC,66,????? A video of a 'smoking' wild elephant in India is baffling scientists and wildlife experts around the world. https://t.co/CENdAQYy5v,0.0,0.0,0.0,1.0,Fri Mar 30 10:33:02 +0000 2018,2018-03-30 10:33:02+00:00
35,@BBC,65,"Advertisers are the experts at persuading us to eat burgers, crisps and fizzy drinks. But could they convince us to… https://t.co/JpuBKADOMB",0.25,0.091,0.0,0.909,Fri Mar 30 10:03:04 +0000 2018,2018-03-30 10:03:04+00:00
36,@BBC,64,It's been described as a 'game changer' for Multiple Sclerosis patients - scientists say a stem cell transplant can… https://t.co/Ru1R67FHig,0.0,0.0,0.0,1.0,Fri Mar 30 09:06:02 +0000 2018,2018-03-30 09:06:02+00:00
37,@BBC,63,"? A squeeze of pineapple juice works wonders for dough...

? Here are 10 things you knead to know about bread! 

?… https://t.co/ajVBvN31mi",0.0,0.0,0.0,1.0,Fri Mar 30 08:27:05 +0000 2018,2018-03-30 08:27:05+00:00
38,@BBC,62,"?? This poor elephant has his foot caught on a deadly snare. 
Can the team save him before its too late?… https://t.co/7pbk2WA7hW",0.0258,0.126,0.123,0.751,Fri Mar 30 07:30:02 +0000 2018,2018-03-30 07:30:02+00:00
39,@BBC,61,"At a time when men thought women shouldn't speak until they were spoken to, this female artist refused to be silent… https://t.co/mbaGBW4xMj",-0.296,0.0,0.099,0.901,Thu Mar 29 20:41:00 +0000 2018,2018-03-29 20:41:00+00:00
40,@BBC,60,"RT @BBCBreakfast: Counting down the hours until you go home for Easter?
??? Here's your Easter weekend forecast: https://t.co/EXeBCHutS4",0.0,0.0,0.0,1.0,Thu Mar 29 18:45:08 +0000 2018,2018-03-29 18:45:08+00:00
41,@BBC,59,RT @bbcrb: Retirement's looking rosy for Hank the police horse! ?? https://t.co/xB9kXZeWNE,0.0,0.0,0.0,1.0,Thu Mar 29 18:44:20 +0000 2018,2018-03-29 18:44:20+00:00
42,@BBC,58,"RT @BBCNewsbeat: Anthony Joshua faces Joseph Parker in Cardiff on Saturday.
And he's eating a LOT to prepare... ? ? https://t.co/qp6xw04IiC",0.0,0.0,0.0,1.0,Thu Mar 29 18:44:11 +0000 2018,2018-03-29 18:44:11+00:00
43,@BBC,57,RT @BBCOne: Anyone else having a 'chilled one'? ? https://t.co/WRBeDdaK18,0.0,0.0,0.0,1.0,Thu Mar 29 18:43:51 +0000 2018,2018-03-29 18:43:51+00:00
44,@BBC,56,"?? 'That was it I just totally fell in love with art.'

? How grime changed Ade Adesina's life. https://t.co/eDyh75YBvl",0.4522,0.194,0.109,0.697,Thu Mar 29 18:05:02 +0000 2018,2018-03-29 18:05:02+00:00
45,@BBC,55,"? Wanna get the kids cooking this #EasterWeekend? 
Here are 10 recipes to keep them busy in the kitchen.
?… https://t.co/5xxQNyyRMg",0.0,0.0,0.0,1.0,Thu Mar 29 17:04:05 +0000 2018,2018-03-29 17:04:05+00:00
46,@BBC,54,RT @BBCTaster: We've just released a host of amazing new artefacts for the #CivilisationsAR app! Discover history's treasures wherever you…,0.784,0.288,0.0,0.712,Thu Mar 29 16:12:19 +0000 2018,2018-03-29 16:12:19+00:00
47,@BBC,53,? Plastic protest! https://t.co/9m59wayYH8,-0.3164,0.0,0.534,0.466,Thu Mar 29 16:03:03 +0000 2018,2018-03-29 16:03:03+00:00
48,@BBC,52,"RT @bbcarts: This Picture Wall in Lahore, Pakistan stretches for over 450 metres and is full of mesmerising mosaics https://t.co/ZFhuF7PiQP",0.0,0.0,0.0,1.0,Thu Mar 29 15:41:25 +0000 2018,2018-03-29 15:41:25+00:00
49,@BBC,51,RT @bbcwritersroom: #OrdealByInnocence begins on @BBCOne on Easter Sunday 1st April at 9pm and @BBCiPlayer. #Screenwriter @PhelpsieSarah ex…,0.0,0.0,0.0,1.0,Thu Mar 29 15:31:22 +0000 2018,2018-03-29 15:31:22+00:00
50,@BBC,50,"RT @bbcideas: Author Lionel Shriver says we project ourselves on to our possessions – and that she is her toy donkey, Clippety ?.

We'd lik…",0.0,0.0,0.0,1.0,Thu Mar 29 15:26:27 +0000 2018,2018-03-29 15:26:27+00:00
51,@BBC,49,RT @BBCTwo: Imagine living in this incredible Swiss chalet! ??? #TheWorldsMostExtraordinaryHomes https://t.co/NofijuERJg,0.0,0.0,0.0,1.0,Thu Mar 29 15:24:08 +0000 2018,2018-03-29 15:24:08+00:00
52,@BBC,48,"? So, who's going out tonight? https://t.co/u2L4sEKjE2",0.0,0.0,0.0,1.0,Thu Mar 29 15:04:02 +0000 2018,2018-03-29 15:04:02+00:00
53,@BBC,47,"?? Why it's never too late to learn an instrument. 
? https://t.co/lbBppX8XlO

#PianoDay https://t.co/x1CegC7iho",0.0,0.0,0.0,1.0,Thu Mar 29 14:21:11 +0000 2018,2018-03-29 14:21:11+00:00
54,@BBC,46,RT @bbcpress: Everyone's favourite fox reads out #MeanTweets (if he can get the right app open). For more @RealBasilBrush watch #Generation…,0.0,0.0,0.0,1.0,Thu Mar 29 14:07:48 +0000 2018,2018-03-29 14:07:48+00:00
55,@BBC,45,"Happy birthday to Alfred and Robert! ? ? Britain's two oldest men, born on the same day, have been celebrating turn… https://t.co/R7GXbEXl3v",0.8268,0.299,0.0,0.701,Thu Mar 29 12:31:03 +0000 2018,2018-03-29 12:31:03+00:00
56,@BBC,44,"This bizarrely cute creature is just the latest species to suffer a social media selfie ban. 
?… https://t.co/bG9qcXtouW",-0.6249,0.124,0.295,0.581,Thu Mar 29 11:00:21 +0000 2018,2018-03-29 11:00:21+00:00
57,@BBC,43,"RT @BBCRadio2: Today we say farewell to the brilliant @RealLynnBowles. ?
Her sharp wit, warm tones, and encyclopaedic knowledge of the UK's…",0.6908,0.231,0.0,0.769,Thu Mar 29 10:18:02 +0000 2018,2018-03-29 10:18:02+00:00
58,@BBC,42,??? Biscuit the robotic pup is helping the elderly cope with conditions like dementia. What a good boy! https://t.co/5vpg6KS031,0.784,0.345,0.0,0.655,Thu Mar 29 08:00:12 +0000 2018,2018-03-29 08:00:12+00:00
59,@BBC,41,?? The world famous cherry blossoms of Japan bring hundreds of thousands of visitors to see them and this year they… https://t.co/kGMsyZnWzi,0.0,0.0,0.0,1.0,Thu Mar 29 07:27:07 +0000 2018,2018-03-29 07:27:07+00:00
60,@BBC,40,"What do you get if you cross a polar bear and a grizzly? 

??… A pizzly! 
#DavidAttenboroughsNaturalCuriosities https://t.co/FwqiMiTd2m",0.0,0.0,0.0,1.0,Thu Mar 29 07:00:10 +0000 2018,2018-03-29 07:00:10+00:00
61,@BBC,39,?? This 800-year-old hotel in Ireland is simply incredible.  #AmazingHotels https://t.co/OAKKCsexPW,0.0,0.0,0.0,1.0,Wed Mar 28 18:00:05 +0000 2018,2018-03-28 18:00:05+00:00
